abandon/’bndn/ vt.丢弃;放弃，抛弃
thorough/‘θΛr/ a.彻底的;详尽的
thoughtful/‘θ:tful/ a.沉思的;体贴的
thread/θred/ n.线;丝;螺纹;头绪
threat/θret/ n.威胁，恐吓，凶兆
threaten/‘θretn/ vt.&vi.威胁，恐吓
thrive/θraiv/ vi.兴旺，繁荣，旺盛
throat/θrut/ n.咽喉，喉咙;嗓音
throughout/θru:’aut/ prep.遍及ad.到处
thrust/θrΛst/ vt.插，刺n.插;讽刺
thunder/‘θΛnd/ n.雷vi.打雷vt.吼出
thus/Λs/ ad.如此，这样;因而
tide/taid/ n.潮，潮汐;潮流
tidy/‘taidi/ a.整洁的;整齐的
tin/tin/ n.锡;罐头
tip/tip/ vt.轻击vi.给小费
tire/‘tai/ vi.疲劳，累;厌倦
tissue/‘tisju:/ n.薄绢;薄纸;组织
toast/tust/ n.烤面包vt.烘，烤
toast/tust/ n.祝酒;祝酒词
toe/tu/ n.脚趾，足尖
tilet/‘tilit/ n.厕所，盥洗室，浴室
tolerance/‘tlrns/ n.忍受，容忍;公差
tolerate/‘tlreit/ vt.忍受，容忍，宽恕
tone/tun/ n.音;腔调;声调
torch/t:t/ n.火炬，火把;手电筒
torture/‘t:t/ n.拷问;折磨vt.拷打
total/‘tutl/ a.总的vi.合计，总共
touch/tΛt/ vt.触摸;触动;感动n.触
tough/tΛf/ a.坚韧的;健壮的
tour/tu/ n.&vi.旅行，游历
tourist/‘turist/ n.旅游者，观光者
towel/‘taul/ n.毛巾，手巾
tower/‘tau/ n.塔vi.屹立，高耸
trace/treis/ n.痕迹;丝毫vt.跟踪
track/trk/ n.行踪;路径;轨道
tractor/‘trkt/ n.拖拉机;牵引车
trade/treid/ n.贸易;职业vi.交易
traffic/‘trfik/ n.交通，通行;交通量
tragedy/‘trdidi/ n.悲剧;惨事，惨案
trail/treil/ n.痕迹;小径vt.跟踪
transfer/trns’f:/ vt.转移;调动vi.转移
transform/trns’f:m/ vt.改变;改造;变换
transformation/trnsf’mein/ n.变化;改造;转变
transformer/trns’f:m/ n.变压器，转换器
transistor/trn’sist/ n.晶体管
transmission/trnz’min/ n.传送;传动;发射
transmit/trnz’mit/ vt.传送，传达;发射
transparent/trns’pernt/ a.透明的;易识破的
transport/trns’p:t/ vt.运输n.运输
transportation/trnsp:’tein/ n.运输，运送，客运
trap/trp/ n.陷阱;诡计vt.诱骗
tray/trei/ n.(浅)盘，托盘，碟
treasure/‘tre/ n.财富;珍宝vt.珍视
treat/tri:t/ vt.对待;处理n.款待
treatment/‘tri:tmnt/ n.待遇;治疗，疗法
treaty/‘tri:ti/ n.条约;协议，协定
tremble/‘trembl/ vi.发抖，哆嗦;摇动
tremendous/tri’mends/ a.极大的，非常的
trend/trend/ vi.伸向;倾向n.倾向
trial/‘trail/ n.试，试验;审判
triangle/‘traingl/ n.三角(形)
trick/trik/ n.诡计;窍门vt.哄骗
trim/trim/ a.整齐的vt.使整齐
triumph/‘traimf/ n.凯旋;胜利vi.成功
troop/tru:p/ n.军队;一群，大量
tropical/‘trpikl/ a.热带的
troublesome/‘trΛblsm/ a.令人烦恼的;麻烦的
trumpet/‘trΛmpit/ n.喇叭，小号
trunk/trΛk/ n.树干;大衣箱，皮箱
trust/trΛst/ n.信任vt.相信;委托
truth/tru:θ/ n.真理;真实;真实性
tube/tju:b/ n.管;电子管，显像管
tune/tju:n/ n.调子;和谐vt.调谐
tunnel/‘tΛnl/ n.隧道，坑道，地道
turbine/‘t:bin/ n.叶轮机，汽轮机
twin/twin/ a.孪生的n.孪生儿
twist/twist/ vt.捻;拧vi.&n.扭弯
type/taip/ n.型，类型vi.打字
typewriter/‘taiprait/ n.打字机
typical/‘tipikl/ a.典型的，代表性的
typist/‘taipist/ n.打字员
tyre/‘tai/ n.轮胎，车胎
ultimate/‘Λltimit/ a.最后的，最终的
unconscious/Λn’ks/ a.不省人事的
uncover/Λn’kΛv/ vt.揭开…的盖子
undergo/Λnd’gu/ vt.经历，经受，忍受
undergraduate/Λnd’grdjuit/ n.大学在校生
underline/Λnd’lain/ vt.划线于…之下
underneath/Λnd’ni:θ/ ad.在下面，在底下
undertake/Λnd’teik/ vt.从事;承担;保证
undo/‘Λn’du:/ vt.解开，打开;取消
undoubtedly/Λn’dautidli/ ad.无容置疑，肯定地
uneasy/Λn’i:zi/ a.心神不安的，忧虑的
unexpected/‘Λniks’pektid/ a.想不到的，意外的
uniform/‘ju:nif:m/ a.一样的n.制服
union/‘ju:njn/ n.联合;团结;协会
unique/ju:’ni:k/ a.唯一的，独一无二的
unit/‘ju:nit/ n.单位;单元;部件
unite/ju’nait/ vi.联合vt.使联合
unity/‘ju:niti/ n.单一;统一;团结
universal/ju:ni’v:sl/ a.宇宙的;普遍的
unknown/‘Λn’nun/ a.不知道的;未知的
unless/‘Λn’les/ conj.除非，如果不
unlike/‘Λn’laik/ a.不同的prep.不象…
unlikely/Λn’laikli/ a.未必的，未必可能的
unload/Λn’lud/ vt.卸(货)vi.卸货
upper/‘Λp/ a.上面的;地位较高的
upright/‘Λprait/ a.垂直的;正直的
upset/Λp’set/ vt.弄翻，打翻，倾覆
up-to-date/‘Λpt’deit/ a.直到最近的，现代的
upward/‘Λpwd/ a.向上的，上升的
urban/‘:bn/ a.都市的,住在都市的
urge/:d/ vt.推进;催促n.冲动
urgent/‘:dnt/ a.紧急的;强求的
usage/‘ju:zid/ n.使用，对待;惯用法
utility/ju:’tiliti/ n.效用，有用，实用
utilize/‘ju:tilaiz/ vt.利用
utmost/‘Λtmust/ a.最远的n.极限
utter/‘Λt/ a.完全的，彻底的
utter/‘Λt/ vt.发出，说，讲
vacant/‘veiknt/ a.空的;未被占用的
vacuum/‘vkjum/ n.真空;真空吸尘器
vague/veig/ a.模糊的，含糊的
vain/vein/ a.徒劳的;自负的
valid/‘vlid/ a.有效的;正当的
value/‘vlju:/ n.价值;价格vt.评价
van/vn/ n.大篷车，运货车
vanish/‘vni/ vi.突然不见，消失
vapour/‘veip/ n.汽，蒸气
variable/‘veribl/ a.易变的n.变量
variation/veri’ein/ n.变化，变动;变异
variety/v’raiti/ n.多样化;种类;变种
various/‘veris/ a.各种各样的，不同的
vary/‘veri/ vt.改变;使多样化
vast/va:st/ a.巨大的;大量的
vehicle/‘vi:ikl/ n.车辆，机动车
velocity/vi’lsiti/ n.速度，速率
venture/‘vent/ n.&vi.冒险vt.敢于
verify/‘verifai/ vt.证实，查证;证明
version/‘v:n/ n.译文;说法;改写本
vertical/‘v:tikl/ a.垂直的，竖式的
vessel/‘vesl/ n.容器;船，飞船;管
veteran/‘vetrn/ n.老兵，老手
via/‘vai/ prep.经过;通过
vibrate/vai’breit/ vt.使颤动vi.颤动
vice/vais/ n.罪恶;恶习;缺点
vice/vais/ n.(老)虎钳
vigorous/‘vigrs/ a.朝气蓬勃的
vinegar/‘vinig/ n.醋
violent/‘vailnt/ a.猛烈的;狂暴的
violet/‘vailit/ n.紫罗兰
virtually/‘v:tjuli/ ad.实际上，事实上
virtue/‘v:tju:/ n.善;美德;优点
visible/‘vizbl/ a.可见的，看得见的
vision/‘vin/ n.视;想象力;梦幻
visual/‘vizjul/ a.看的;看得见的
vital/‘vaitl/ a.生命的;有生命力的
vitamin/‘vitmin/ n.维生素，维他命
vivid/‘vivid/ a.鲜艳的;生动的
volcano/vl’keinu/ n.火山
volt/vult/ n.伏特，伏
voltage/‘vaultid/ n.电压
volume/‘vljum/ n.卷，册;容积;音量
voluntary/‘vlntri/ a.自愿的，志愿的
voyage/vid/ n.&vi.航海，航空字
wage/weid/ vt.开展(运动)
waggon/‘wgn/ n.四轮运货马车
waken/‘weikn/ vi.醒来vt.弄醒
wander/‘wnd/ vi.漫游;迷路;离题
want/wnt/ n.需要;缺乏
warmth/w:mθ/ n.暖和，温暖;热烈
water/‘w:t/ n.水vt.使湿，灌溉
waterproof/‘w:tpru:f/ a.不透水的，防水的
wave/weiv/ n.波;波涛vi.波动
wax/wks/ n.蜡，蜂蜡
weaken/‘wi:kn/ vt.削弱vi.变弱
weakness/‘wi:knis/ n.虚弱，软弱;弱点
wear/we/ vt.磨损
weave/‘wi:v/ vt.织，编vi.纺织
weed/wi:d/ n.杂草，野草vi.除草
weep/wi:p/ vi.哭泣，流泪
weld/weld/ vt.&n.焊接，熔接
welfare/‘welfe/ n.幸福，福利
wheat/wi:t/ n.小麦
wheel/wi:l/ n.轮，车轮
whilst/‘wailst/ conj.&n.当…的时候
whip/wip/ vt.鞭笞;搅打n.鞭子
whisper/‘wisp/ vt.低声地讲vi.低语
whistle/‘wisl/ n.口哨vi.吹口哨
wholly/‘huli/ ad.完全地，全部
wicked/‘wikid/ a.坏的;令人厌恶的
widen/‘waidn/ vt.加宽vi.变宽
widow/‘widu/ n.寡妇
width/widθ/ n.宽阔，广阔;宽度
willing/‘wili/ a.愿意的，心甘情愿的
wind/waind/ vt.绕，缠绕vi.卷曲
wing/wi/ n.翼，翅膀，翅
wire/‘wai/ n.金属线;电缆;电信
wit/wit/ n.智力，才智，智能
withdraw/wi’dr:/ vt.收回;撤回vi.撤退
withstand/wi’stnd/ vt.抵挡，反抗
witness/‘witnis/ n.证据;证人vt.目击
wooden/‘wudn/ a.木制的;呆板的
wool/wul/ n.羊毛;毛线，绒线
workman/‘w:kmn/ n.工人，劳动者，工匠
workshop/‘w:kp/ n.车间，工场;创作室
world-wide/‘w:ldwaid/ a.遍及全球的
worm/w:m/ n.虫，蠕虫
worship/‘w:ip/ n.礼拜;崇拜vt.崇拜
worst/w:st/ a.最坏的ad.最坏地
worth/w:θ/ a.值…的n.价值
worthless/‘w:θlis/ a.无价值的，无用的
worthwhile/‘w:θ’wail/ a.值得花时间的
worthy/‘w:i/ a.有价值的;值得的
wound/wu:nd/ n.创伤，伤vt.使受伤
wrap/rp/ vt.裹，包，捆n.披肩
wreck/rek/ n.失事;残骸vt.破坏
wrist/rist/ n.腕，腕关节
X-ray/‘eks’rei/ n.X射线，X光
yard/ja:d/ n.院子，庭院;场地
yard/ja:d/ n.码
yawn/j:n/ vi.打呵欠n.呵欠
yearly/‘j:li/ a.每年的ad.一年一度
yield/ji:ld/ vt.&vi.出产n.产量
youth/ju:θ/ n.青春;青年们;青年
zone/zun/ n.地区，区域，范围
wonderful adj.精彩绝伦的
 
 
